iter	Logloss
0	0.6378223802
1	0.5927639675
2	0.5553160886
3	0.524981531
4	0.4990802585
5	0.4768551565
6	0.4582960034
7	0.4424536197
8	0.4288376794
9	0.4171373724
10	0.4071088093
11	0.3982207869
12	0.390373454
13	0.3839294476
14	0.3781972352
15	0.373590167
16	0.3694919496
17	0.3657488793
18	0.3625740309
19	0.3598564086
20	0.3574080892
21	0.3551494493
22	0.3532867042
23	0.3512905647
24	0.3494762763
25	0.3476893566
26	0.3459782453
27	0.3447095382
28	0.3435647917
29	0.3421695299
30	0.3418075126
31	0.3406862016
32	0.3396666714
33	0.3386026555
34	0.3377928214
35	0.3368793149
36	0.3361784866
37	0.3358211157
38	0.3349535813
39	0.3344388051
40	0.3337328461
41	0.3330617791
42	0.3323527298
43	0.3319663102
44	0.3319329777
45	0.3314501854
46	0.3305572573
47	0.3298651074
48	0.3289311669
49	0.3283019237
