iter	Passed	Remaining
0	28	1400
1	58	1413
2	89	1406
3	106	1228
4	131	1187
5	167	1224
6	194	1196
7	221	1164
8	256	1170
9	283	1135
10	313	1111
11	340	1077
12	369	1051
13	398	1023
14	424	991
15	452	962
16	484	940
17	512	910
18	538	878
19	563	845
20	596	823
21	629	801
22	658	773
23	688	745
24	714	714
25	744	687
26	773	658
27	801	629
28	832	602
29	863	575
30	873	535
31	896	504
32	925	476
33	949	446
34	978	419
35	1005	391
36	1033	363
37	1063	335
38	1090	307
39	1117	279
40	1144	251
41	1172	223
42	1199	195
43	1230	167
44	1244	138
45	1269	110
46	1298	82
47	1326	55
48	1353	27
49	1381	0
