,emp_length,purpose,addr_state,funded_amnt_inv,int_rate,annual_inc,dti,inq_last_6mths,pub_rec,revol_util,pub_rec_bankruptcies,pnt_loan_annual
0,11.0,credit_card,AZ,4975.0,0.1065,24000.0,27.65,1.0,0.0,0.837,0.0,0.20833333333333334
2,11.0,small_business,IL,2400.0,0.1596,12252.0,8.72,2.0,0.0,0.985,0.0,0.1958863858961802
3,11.0,other,CA,10000.0,0.1349,49200.0,20.0,1.0,0.0,0.21,0.0,0.2032520325203252
5,3.0,wedding,AZ,5000.0,0.079,36000.0,11.2,3.0,0.0,0.283,0.0,0.1388888888888889
7,9.0,car,CA,3000.0,0.1864,48000.0,5.35,2.0,0.0,0.875,0.0,0.0625
11,11.0,debt_consolidation,CA,12000.0,0.1269,75000.0,10.78,0.0,0.0,0.671,0.0,0.16
12,0.0,debt_consolidation,VA,9000.0,0.1349,30000.0,10.08,1.0,0.0,0.917,0.0,0.3
13,3.0,credit_card,IL,3000.0,0.0991,15000.0,12.56,2.0,0.0,0.431,0.0,0.2
14,3.0,other,CA,10000.0,0.1065,100000.0,7.06,2.0,0.0,0.555,0.0,0.1
15,0.0,debt_consolidation,MO,1000.0,0.1629,28000.0,20.31,1.0,0.0,0.815,0.0,0.03571428571428571
16,4.0,home_improvement,CA,10000.0,0.1527,42000.0,18.6,2.0,0.0,0.702,0.0,0.23809523809523808
17,11.0,major_purchase,CT,3600.0,0.0603,110000.0,10.52,0.0,0.0,0.16,0.0,0.03272727272727273
18,1.0,medical,UT,6000.0,0.1171,84000.0,18.44,0.0,0.0,0.3773,0.0,0.07142857142857142
19,6.0,debt_consolidation,CA,9200.0,0.0603,77385.19,9.86,0.0,0.0,0.231,0.0,0.11888579714025384
21,11.0,debt_consolidation,FL,21000.0,0.1242,105000.0,13.22,0.0,0.0,0.903,0.0,0.2
22,11.0,credit_card,TX,10000.0,0.1171,50000.0,11.18,0.0,0.0,0.824,0.0,0.2
23,5.0,debt_consolidation,CA,10000.0,0.1171,50000.0,16.01,0.0,0.0,0.918,0.0,0.2
24,1.0,major_purchase,CA,6000.0,0.1171,76000.0,2.4,1.0,0.0,0.297,0.0,0.07894736842105263
25,2.0,credit_card,IL,15000.0,0.0991,92000.0,29.44,0.0,0.0,0.939,0.0,0.16304347826086957
26,9.0,debt_consolidation,NY,8725.0,0.1427,60000.0,15.22,1.0,0.0,0.576,0.0,0.25
