,score
0,620.5169320802742
1,635.6754222023314
2,666.0959130776994
3,610.361931350291
4,655.4616355355136
5,587.6558776155318
6,587.8458230360342
7,608.2725168928442
8,537.0946718587938
9,629.3210986243203
10,578.7506996550213
11,596.9457963134458
12,616.6855191274727
13,628.1082776072595
14,621.6204916414249
15,625.957388057808
16,625.2664123015919
17,665.7245246048924
18,588.0651149613502
19,679.2653492157466
20,627.8092703813904
21,639.5762318937941
22,579.9364839674138
23,637.3336272955191
24,603.8585709025456
25,621.8567015662354
26,620.5326961048245
27,626.6990672185595
28,594.8499663850498
29,617.9241758378761
30,594.7078389839055
31,633.1191508578827
32,600.1448565340465
33,639.3162298070174
34,576.4072260795818
35,636.8989939751962
36,620.3067056685959
37,566.8364584503674
38,639.4416550002319
39,640.2373942303275
40,591.6033654210695
41,672.4277757006719
42,626.8722539011969
43,582.2687591784238
44,642.4716113902643
45,638.6804686089997
46,594.2736317985159
47,638.4993059932671
48,635.8176496609753
49,655.3862946514809
50,639.9046130509652
51,691.2560782261231
52,595.0580206725406
53,593.9365363924799
54,666.677615932135
55,642.3415226703343
56,618.7360233076213
57,578.3965130095914
58,614.157960117604
59,608.2404404799386
60,635.5020482419695
61,648.2457572807666
62,649.4918434527694
63,610.6154545030238
64,665.4772040905946
65,631.7963884184537
66,590.3017132849634
67,660.771628723453
68,591.5575301531856
69,653.8758908674681
70,603.0589749301264
71,542.8474476876892
72,636.8311323257728
73,656.0783430087798
74,619.2084604407195
75,666.2383699378308
76,653.9403066100372
77,575.0730890361228
78,616.3223941103897
79,618.3316308595377
80,643.1751875014995
81,592.0948231251516
82,580.7833581138859
83,645.7432112807566
84,598.1820266515564
85,623.3546277937355
86,633.343955499953
87,646.0858957636044
88,609.3766163240082
89,646.2615602379195
90,621.1753126089578
91,590.4695699904368
92,649.9853427597359
93,604.7707918496425
94,597.1883685578889
95,542.1713458868918
96,597.8107436009814
97,573.0300175364664
98,552.3780829295895
99,611.0215951010193
100,630.0915501257307
101,632.3418807407461
102,594.3112047121535
103,649.6458561035599
104,632.3568777078416
105,607.2134148911913
106,625.3724783686006
107,623.5407683612402
108,593.150953453253
109,678.1652224961565
110,676.6157148396373
111,645.3504867937438
112,579.6634227386385
113,594.8621126170303
114,606.8695460813395
115,645.6578999195235
116,664.622970686053
117,590.2589092611885
118,546.4662596274287
119,578.4074045513822
120,636.4864992443654
121,633.1897457280262
122,580.1146883935414
123,589.9395604403978
124,607.558211536791
125,626.8077664533957
126,601.7979167287123
127,639.3434610735849
128,640.1610217167482
129,646.6629416955874
130,655.364571567116
131,649.1042953972012
132,597.2563302404295
133,623.9277319913042
134,616.9781679505858
135,629.8400161857599
136,605.1288926834591
137,630.6655388666234
138,648.2036375656958
139,645.4061193339346
140,628.3019222216323
141,615.9330454744728
142,611.6084784556107
143,597.1364561965046
144,584.0195958983368
145,643.0471003398218
146,639.4796779345946
147,607.2208898761749
148,645.3726772185048
149,597.2327537471267
150,608.5347832958519
151,612.7075626019558
152,607.7967217330297
153,626.7580319801784
154,559.9014044348274
155,675.7790952086858
156,611.2711347442234
157,629.9681956948127
158,596.0857764990617
159,584.8364480217815
160,612.8467647534177
161,614.7287630554781
162,624.9069942299551
163,658.5907918651769
164,638.2757430652406
165,624.7556542062898
166,620.5310108548242
167,623.9240533057197
168,589.8535587358749
169,598.0552743304003
170,631.3664441774113
171,659.7519540323665
172,620.5697050111137
173,655.415483697198
174,647.4579773427206
175,629.7829494816965
176,628.3092687960464
177,629.0929655432756
178,647.8356244738955
179,621.558593319531
180,609.1536156151395
181,614.8690150823604
182,601.4653334890614
183,618.5301455634137
184,662.0954433365982
185,591.6466967787096
186,613.1513550886906
187,599.758597750543
188,597.5040497773998
189,637.404108344027
190,648.8690030754638
191,620.5953582077948
192,666.2617025580571
193,637.7170424161741
194,605.100426366573
195,586.6238165823472
196,641.4819203172437
197,610.9723826025937
198,604.6499241755905
199,594.2696932248875
200,581.4236677044247
201,605.1598106988299
202,593.6046084793857
203,594.7598803251891
204,651.6529599628379
205,648.5018835218139
206,528.3586039833212
207,674.328284288581
208,617.6646422002102
209,614.4088806681748
210,646.2609637280057
211,602.9489635363357
212,565.5227584315451
213,671.7960460097099
214,614.4064260530588
215,668.99664794337
216,625.6488036947898
217,585.93614065373
218,596.3142142789569
219,672.7534149831444
220,609.4066503586284
221,676.0075399597013
222,574.4239550682747
223,632.5363009072514
224,624.9641471317193
225,655.3261711488414
226,608.5554916233972
227,634.1357455024944
228,634.3393569879078
229,672.1641029429957
230,542.929884384491
231,641.783003229261
232,593.6058227618059
233,576.6523820637125
234,636.9496466766672
235,581.5689537897374
236,651.236459303602
237,632.4268942318088
238,623.0458932535222
239,626.5674398966258
240,595.877643310372
241,637.5852312844271
242,641.134001724704
243,644.1811994131855
244,549.3041771314254
245,650.6316721800663
246,648.4334306310459
247,600.9108731588439
248,612.1246949677816
249,629.9052772976386
250,571.4285603428962
251,670.4286605089869
252,621.7292749598428
253,585.8047716452652
254,615.6836258697074
255,621.161762415304
256,513.9239541976184
257,613.6983102418068
258,621.6290194784876
259,630.0362995289336
260,630.7987670767084
261,656.0295523229904
262,669.0833502192468
263,621.8674769155856
264,613.2932811283993
265,622.5391634842161
266,583.6415200363494
267,630.5862779087474
268,658.6759514773663
269,638.6479257123265
270,621.2151943703093
271,667.6012578371092
272,598.7939350633377
273,644.3903515451294
274,652.7506660371399
275,627.9872066729678
276,578.5895183231179
277,575.3327627991088
278,651.1762895449245
279,655.6066957180027
280,643.424395060794
281,615.314322507989
282,576.5998170881793
283,624.7152061890267
284,561.46480535445
285,641.3189380436942
286,582.2620662328351
287,621.976581409948
288,597.7050274769267
289,631.9165828309568
290,668.9180527842007
291,606.5854803380228
292,676.9148148293357
293,584.5625165793032
294,613.1536797429918
295,607.8192087937205
296,609.1895870911844
297,647.8548321020046
298,579.8034600436208
299,591.0723708807418
300,660.3596702454348
301,594.8675961905914
302,552.5630493264715
303,624.8734545186013
304,620.956306831779
305,678.3927996899757
306,619.0250248127086
307,606.0076429677024
308,648.159539214515
309,672.6405818182949
310,565.4205048094627
311,601.6735230360084
312,660.4574570594818
313,650.1066052750484
314,671.5437612026096
315,619.4443307633125
316,580.7070207850801
317,656.4690640621428
318,568.4777217223193
319,634.05771743874
320,618.2626414862968
321,611.4612954638083
322,603.8721874290757
323,596.9235663451664
324,624.3408912528581
325,589.2571084348351
326,615.4188174732365
327,585.5625762111594
328,629.7293987791832
329,584.9480191709192
330,595.4742646026895
331,642.368156324899
332,638.3348809744457
333,613.6431809156562
334,475.12362309072387
335,674.8340319353906
336,586.8946285174354
337,605.310776940014
338,685.7459839874351
339,601.5424995195553
340,620.8893128859406
341,540.344394243412
342,592.8712387718552
343,653.81225893053
344,623.8595212201506
345,607.1624805031279
346,636.7238489794903
347,680.713237519717
348,570.8002071132679
349,619.3114059478122
350,629.6399583946446
351,609.2372487722187
352,663.7125503813336
353,605.3417625072912
354,612.1341033115287
355,596.6578412808134
356,642.8226441631002
357,565.8742532196636
358,604.2010500859965
359,659.7830252057648
360,643.8682505211439
361,678.5992013839593
362,630.9965620279986
363,637.4038092009597
364,597.9064889315451
365,567.6991865863808
366,576.8841583814491
367,621.6490837520123
368,635.2628881181778
369,650.6503141839592
370,661.3758044746269
371,659.3091885853738
372,609.4129504399772
373,643.7280392889795
374,602.0302423044438
375,637.6002940518478
376,629.8144714063721
377,667.3828867155826
378,617.9558900037122
379,643.6073896667523
380,616.4816028037636
381,642.2242239579812
382,621.3014650105318
383,616.995848936467
384,623.1468826977155
385,601.8253001263673
386,613.9117151045456
387,496.7662650523879
388,641.8101727459372
389,644.3419054546995
390,620.7844851592587
391,578.9711463420102
392,559.5137613141285
393,631.7632348117212
394,585.5833214012017
395,595.9673453612158
396,645.3025379923863
397,619.7132806719358
398,668.3733153806747
399,663.0618893880256
400,551.1226166545588
401,601.333986493052
402,599.8799878667445
403,631.5016747636896
404,650.8851089013438
405,654.6706888315143
406,625.547982983349
407,638.555129029017
408,661.9100696929869
409,665.7711942970959
410,618.9110262837698
411,541.661949173757
412,573.551508718278
413,524.9937803963678
414,614.960052979646
415,608.321342023773
416,579.0314068425168
417,608.4954829455849
418,613.8432023902549
419,666.0861595602481
420,627.0938830360786
421,583.4511845885152
422,660.4349887283926
423,588.0071333187664
424,653.3018681874723
425,624.3251215293111
426,582.6963101689803
427,605.1233804768261
428,603.2079262665416
429,542.6473921531535
430,605.5918891294534
431,667.3669631096222
432,620.1853474451262
433,570.50464391402
434,652.2407219087063
435,657.6497581801028
436,607.208293705156
437,604.6983839780906
438,587.5283791208071
439,653.9218199277169
440,607.1040023725695
441,627.4714257312517
442,650.4125911255951
443,583.4052625048969
444,625.6371696973827
445,624.689105452
446,603.5974513034305
447,677.5458809893134
448,633.6503647807142
449,618.9203497086319
450,587.5838550072091
451,643.9692958493289
452,655.084405363688
453,594.7324880309238
454,593.4433122220508
455,658.6493446814538
456,633.4882418259117
457,601.0387555934535
458,591.5355080238754
459,668.728358344144
460,637.3440706115229
461,584.9274675733998
462,574.8809510655713
463,610.8964402068688
464,667.8979135617192
465,620.7472413144287
466,627.7176312622255
467,614.6313887396384
468,633.1196354494219
469,584.099672948978
470,507.0059031428479
471,598.4488888568563
472,614.9247556854086
473,578.6019207953126
474,573.5631661776954
475,556.4386210777969
476,514.6967278821244
477,662.468930547314
478,625.1239365478948
479,606.2189466303519
480,642.4339092013317
481,631.972652007196
482,611.3486550032832
483,618.5977998425658
484,606.5082088380061
485,610.2815011246751
486,612.8755409959682
487,591.281596238206
488,625.9740152358085
489,621.5119573280951
490,604.4688627457136
491,618.5260935343687
492,650.0099415357322
493,624.8943000519834
494,646.8329037762613
495,627.4152343628031
496,570.1140816279676
497,651.3858910539931
498,593.4996171861155
499,624.0838434865369
500,532.5854232435017
501,672.5717337996471
502,597.8870177364321
503,570.5760071226066
504,662.9932371279076
505,551.8633189893745
506,632.2165800092541
507,651.4038368361381
508,598.5785213417262
509,601.0345282523141
510,692.8516669958201
511,601.3974963433335
512,602.730039869857
513,597.0816910012386
