,score
0,626.2213593338645
1,634.7195486588844
2,669.8699765586748
3,615.3456140518742
4,650.1234600326067
5,596.8754252205554
6,598.9522480714752
7,618.598225871895
8,562.9409614893893
9,632.7917192922235
10,584.3686573108291
11,598.9066686605173
12,619.1429053066541
13,634.6864688221515
14,621.3042950683615
15,620.1754282705986
16,600.9208234946615
17,664.7662558149702
18,573.2223818299451
19,675.4943708215487
20,625.8343713443812
21,644.1512141958033
22,588.3652705214811
23,631.8716892457421
24,600.6543469150988
25,627.0110040331895
26,617.7190459906424
27,628.7540286418123
28,570.3826897180544
29,625.6146528203019
30,587.9735226784535
31,623.0495859718618
32,605.3839193545716
33,636.9856247076747
34,564.2523504670328
35,634.8274842281717
36,611.7647198421384
37,554.2504392377274
38,630.715029122061
39,634.3833693512623
40,593.925185376675
41,671.9702064684561
42,629.6923271156008
43,594.6018081373695
44,630.7030757737402
45,637.0066259621509
46,600.655117941642
47,644.4050661869526
48,629.0518216604003
49,649.5089452800706
50,632.5413048042747
51,673.8464736604095
52,603.6995115268127
53,603.3742869402868
54,661.209951262914
55,643.6293769825882
56,610.4968445806581
57,580.4773929420217
58,625.1769856910272
59,608.4422128852632
60,652.2276109343312
61,637.885106279475
62,633.6943758740783
63,604.7368646078406
64,662.2480276159461
65,644.19768956758
66,594.7451449556766
67,661.1268012299167
68,590.4531904745013
69,651.0799105010099
70,606.2487521308368
71,534.2877427134595
72,628.3842520184273
73,647.5046738254289
74,621.1795334560254
75,671.0640635594383
76,665.9039684283362
77,569.6960673504054
78,620.1066898571096
79,622.584900165202
80,628.7749338765916
81,604.1994614401318
82,590.3663769851446
83,646.4039342501515
84,585.2815096751145
85,631.5289130421572
86,631.5801036745252
87,645.3692002411882
88,603.8898230843076
89,657.4494886224204
90,615.6150073701883
91,576.5416961420373
92,642.9226554818225
93,609.9972144011042
94,595.0745291720758
95,602.1615738353779
96,600.2933559473815
97,577.0474321164559
98,559.5932591084531
99,591.7089016571834
100,627.2672681274233
101,618.544790324531
102,595.0761289874725
103,635.9131669812207
104,637.2956735074285
105,609.9569367315808
106,613.5438185500943
107,612.4827401619216
108,575.8481153239603
109,669.4903893132238
110,673.8464736604095
111,650.7540330154675
112,567.0375325419107
113,606.1847569440355
114,609.1320608422246
115,623.1165284460517
116,663.4991109194598
117,588.9288770956881
118,539.9177323444113
119,613.8237670761157
120,641.7555588701433
121,629.573783610029
122,591.3313351781997
123,605.7233080471269
124,621.529886737646
125,614.1325064889895
126,596.4558214441282
127,636.3589321024833
128,638.9093995027744
129,645.3108027612723
130,648.8054642889565
131,642.6428310908572
132,608.2848110269995
133,625.4333795246134
134,612.8292586365807
135,632.532816722896
136,603.3295494640168
137,629.3556760884862
138,670.3518855349988
139,656.8477860079507
140,633.3410508575585
141,607.1765262346862
142,617.3272328062455
143,596.3608586375116
144,591.5962748429811
145,648.3158341068215
146,645.7319385965609
147,606.9155028267066
148,640.2959351290459
149,605.0582408868324
150,608.6446797280206
151,601.2807559547301
152,606.6202115748201
153,630.8148541994062
154,544.7801636302017
155,671.3085903936212
156,590.7595285984711
157,626.475021695347
158,598.6975288521201
159,590.0572901214202
160,600.7866613750236
161,604.6207047117225
162,624.7139834070769
163,654.206129116574
164,632.9814529642485
165,624.7742127745639
166,606.5851470719379
167,618.4489090934812
168,573.4722621461289
169,589.3785813111156
170,628.7829126673741
171,667.1462673075932
172,612.3718741549446
173,653.4921608425279
174,644.5139834515983
175,626.7797486350112
176,612.8498311399787
177,616.7397188487664
178,646.4261336431065
179,626.2140614635628
180,620.4501300954137
181,615.322304484668
182,620.6868479526443
183,621.8545486525275
184,664.8990310582803
185,616.9798340244058
186,612.2050144895355
187,607.4739526188424
188,594.9595511883381
189,647.2943062017944
190,652.7762781767365
191,610.5526085327857
192,670.5328033196378
193,646.1643459905422
194,590.5420679211334
195,577.3275376336453
196,642.5677977622322
197,616.4536972743308
198,602.3920323174422
199,607.1353164548767
200,573.5468693282426
201,610.775354501371
202,590.6111037133284
203,598.9222665010109
204,641.0401996655908
205,643.2061187538632
206,550.4323789546991
207,665.259338772833
208,614.2025765725227
209,623.9137023810723
210,643.3541630809784
211,597.1319772835888
212,567.1917567671643
213,668.9337110144746
214,603.5296038133914
215,659.289504198729
216,619.9464670507921
217,568.3581033721234
218,578.0974273368382
219,666.4180381923572
220,615.4415418019282
221,664.4308899618319
222,571.6551388572333
223,615.8427868572452
224,618.3217088727281
225,659.8260021871823
226,597.3497592868174
227,633.6006908610184
228,620.4599209682993
229,658.8017141499785
230,577.4022394948618
231,640.0915400694926
232,574.5335134046436
233,588.8536435681865
234,628.397005422657
235,578.203823910547
236,651.5740315324449
237,617.4683818679953
238,625.2509184306626
239,626.5885284068804
240,591.6394710614129
241,640.1450398290528
242,670.9506572343341
243,643.5112419466763
244,559.330876261876
245,656.342319208941
246,647.1021873937277
247,607.7118181922676
248,617.1949435246644
249,631.2871047810731
250,578.71578651286
251,664.1816148964251
252,596.165952485197
253,582.0425753150031
254,642.8186301401142
255,615.7924882060871
256,560.1786231562742
257,614.1193881835044
258,610.413507306532
259,642.8193519038646
260,614.3942708871332
261,657.3315166720135
262,664.6003762279295
263,620.2450504064736
264,607.9585272091342
265,623.5851251194129
266,589.2069676076841
267,630.7047341229019
268,656.8485802419254
269,644.2326708546864
270,625.088583706731
271,671.2874632364981
272,597.0077178794453
273,641.7028711199439
274,644.1633777308638
275,632.9605915232323
276,571.5437032717671
277,581.765356282224
278,636.3674232907568
279,643.6108370624789
280,649.9432764297975
281,629.2159887991852
282,570.4304699234733
283,635.710778823812
284,563.920269892571
285,634.6887482278751
286,573.7759229664167
287,621.6007693260661
288,580.6878772018295
289,624.6514754018942
290,662.9344613459685
291,603.3435052794578
292,673.8464736604095
293,590.2546221619657
294,630.3742534465496
295,606.4777132332622
296,612.1656193002642
297,650.8821836267136
298,586.1039921599662
299,595.5359112075455
300,657.0394316059762
301,600.2101208562102
302,559.7910503834573
303,624.2188605938347
304,616.6939982927049
305,673.8464736604095
306,613.2231844018413
307,596.1077925210071
308,646.53529195122
309,662.2106148927113
310,567.0569966818807
311,589.0343753543709
312,643.7689222376282
313,650.1716595819669
314,667.6162306126937
315,621.9772064563011
316,605.1562963034515
317,662.5377846377777
318,568.2142060116666
319,623.6276181573166
320,611.9854125144183
321,611.9072908238476
322,583.204088079831
323,609.285373726533
324,614.0592861879663
325,589.3943239990883
326,611.3654769234709
327,578.2643213581696
328,626.816433560891
329,590.3427385396535
330,605.4745117742516
331,643.1980775507636
332,639.175221155499
333,587.7069588772008
334,526.6218619511199
335,673.5946229648283
336,599.3709295378942
337,608.3187152184607
338,673.8464736604095
339,607.5760912854897
340,628.1880622100332
341,562.7749903471145
342,587.4639438694185
343,659.1051897801668
344,628.7219874812135
345,605.0547054789416
346,625.3600426308935
347,673.7860586106433
348,579.9204172061795
349,605.0735129356274
350,623.5604036689726
351,604.7711956525794
352,673.8515846482696
353,638.4583353028399
354,611.266664508278
355,601.7050803413824
356,646.5810914694629
357,571.2861289560101
358,609.8292807569576
359,667.5136671758553
360,655.2767359758082
361,673.1325308384069
362,627.5921637884742
363,651.2958108378137
364,599.1072307607429
365,562.2148301210855
366,580.9246396457067
367,630.1319614336539
368,641.1481834987846
369,658.7488981466518
370,648.0901991539733
371,669.2195951337387
372,594.5146478727808
373,641.5859576573341
374,610.0800266461736
375,646.347390282386
376,625.3293624311301
377,672.5275183364481
378,623.0740061631955
379,634.827244905099
380,615.2860705830036
381,636.8819963012625
382,627.262922176385
383,632.3219855431341
384,628.0799288206964
385,619.5052513316161
386,620.2726276649539
387,538.1763940466523
388,648.4135347071901
389,644.356242229836
390,623.206832390984
391,542.4931219585158
392,563.1121200089526
393,622.6852372559554
394,602.2226819924703
395,601.211918661523
396,653.399155979929
397,623.5417302020389
398,669.2242288414213
399,657.6361882724532
400,559.0143025209334
401,598.9661176128271
402,599.2626595912334
403,641.0078301456821
404,661.5472329608721
405,647.6047888517663
406,620.0728095423657
407,623.5961990917954
408,662.768797093428
409,666.5175352788663
410,623.0604907763449
411,551.5148282038068
412,559.4183851678031
413,575.5715643576771
414,621.3656554632737
415,598.3413656738255
416,595.2949905711041
417,622.2400147962771
418,616.4021901969386
419,667.1896177564365
420,630.4494032403736
421,578.3161285429851
422,648.1679457851869
423,596.0805046889824
424,651.8060840597135
425,620.9767639512469
426,584.3727956814483
427,620.5284365143054
428,614.3469581278181
429,557.2050777542187
430,569.8405874492233
431,668.4730484712424
432,620.5915771040699
433,561.1283726126891
434,618.8769411418733
435,657.1704478884177
436,599.9025441667393
437,612.780639148291
438,591.2241487457671
439,671.4158713918007
440,583.7566395092217
441,612.5709524497823
442,649.3356056042107
443,606.9661923040676
444,623.9657867947604
445,625.9697768693165
446,600.8399115869759
447,666.3805326068324
448,631.9762938999409
449,614.1238893768683
450,581.5841923822857
451,632.9437267930775
452,637.22239119475
453,580.8157532526193
454,584.4288489270276
455,662.2712846086736
456,626.5153863767986
457,587.4022916282518
458,548.7604312521299
459,664.7295176068418
460,627.1555878694531
461,583.8959990421636
462,591.7702013773135
463,602.3904265289332
464,660.7439201428696
465,612.6288287364268
466,608.082139565418
467,608.995387367906
468,632.9465993937024
469,613.7491594753137
470,543.1333761162422
471,614.1979667329996
472,601.184247947508
473,583.3531977813568
474,568.2168364695511
475,584.3157461428359
476,536.3998896335974
477,667.2500087555146
478,608.473380474786
479,591.1400693614452
480,668.0606661715512
481,629.5073522348804
482,609.8342844813786
483,619.6282920655774
484,617.4437171230053
485,613.5869516843072
486,603.1169448537858
487,558.3957048200405
488,617.7803073195566
489,611.9212927523602
490,592.4629940091878
491,613.3719456897611
492,652.8849936468281
493,625.2839762770107
494,664.5172063909329
495,640.8620068937846
496,558.436130716727
497,621.7783959438889
498,599.230470387424
499,635.8835489923404
500,557.6173968139642
501,662.2979345900902
502,603.471137300321
503,568.2545742499566
504,654.6466008378009
505,564.9104877305505
506,630.1655240143729
507,653.499163503497
508,589.7356382635846
509,613.0746301480766
510,673.8464736604095
511,612.7649357109634
512,603.3415860928965
513,621.6593240534085
514,591.368033560305
515,628.9898243975426
516,621.7167121059283
517,636.2836631135078
518,637.2192965428388
519,574.7918140013508
520,655.8859988390525
