,score
0,553.09125
1,553.09125
2,558.13525
3,550.1922
4,556.3621
5,546.5576
6,549.1234
7,548.8714
8,530.4824
9,553.09125
10,542.5613
11,547.9101
12,541.0069
13,552.4153
14,553.9
15,549.6849
16,552.075
17,557.7498
18,545.0347
19,558.13525
20,553.09125
21,556.13806
22,541.517
23,552.0468
24,549.8805
25,552.57635
26,547.9984
27,553.09125
28,530.41956
29,552.7151
30,545.9984
31,553.09125
32,546.94653
33,552.90375
34,547.5047
35,553.09125
36,551.6193
37,526.30786
38,555.69855
39,555.01025
40,543.8176
41,557.15186
42,552.4375
43,548.3887
44,553.2053
45,554.13184
46,544.4199
47,555.4658
48,553.594
49,557.0878
50,553.09125
51,558.13525
52,547.1797
53,546.40155
54,557.8599
55,552.84454
56,550.2427
57,538.68005
58,549.83923
59,550.7272
60,556.6121
61,556.44006
62,551.6125
63,548.35626
64,558.0251
65,556.3621
66,548.86725
67,557.67615
68,547.1925
69,556.44006
70,544.5431
71,523.85724
72,552.3596
73,554.8171
74,549.7881
75,557.8409
76,552.72925
77,534.7114
78,549.887
79,549.0704
80,554.84735
81,549.0511
82,534.4606
83,556.7197
84,538.9122
85,552.57635
86,552.6449
87,554.9298
88,550.2482
89,557.0392
90,550.86536
91,550.15094
92,554.58887
93,548.07306
94,546.6872
95,522.1802
96,549.80347
97,545.3225
98,533.00366
99,547.87976
100,549.90924
101,552.8498
102,542.24194
103,553.0015
104,553.7389
105,546.7697
106,549.7499
107,544.1896
108,541.6666
109,558.13525
110,558.13525
111,556.01025
112,541.38983
113,551.2239
114,549.5244
115,550.4695
116,557.67615
117,544.68945
118,496.955
119,546.94653
120,556.3621
121,553.63196
122,535.42053
123,551.77924
124,550.95953
125,552.53345
126,546.438
127,554.4507
128,546.1427
129,556.3621
130,555.34106
131,555.7412
132,551.4495
133,555.78986
134,552.6992
135,553.09125
136,549.94806
137,551.25684
138,556.4116
139,556.8228
140,553.09125
141,548.7808
142,551.6234
143,541.202
144,529.2968
145,555.8866
146,555.8296
147,552.12085
148,556.13806
149,549.4789
150,552.95795
151,549.6248
152,540.6811
153,548.7731
154,546.85364
155,558.1162
156,545.38275
157,550.63104
158,545.84406
159,545.69525
160,548.08746
161,551.6082
162,553.87036
163,555.9425
164,554.27264
165,555.20807
166,548.40247
167,551.33875
168,537.64984
169,545.21515
170,551.33875
171,557.28357
172,548.93164
173,557.6322
174,557.43964
175,552.5582
176,550.70685
177,549.3909
